endpoint,method,payload_size,response_time,status_code
/matrics,GET,58,32446,500
/matrics,GET,681,32446,200
/purchase,GET,1120,32446,200
/get-user,GET,1421,32446,200
/login,GET,261,32446,200
/get-user,POST,687,32446,200
/login,GET,21760,324460,200
/matrics,POST,1362,32446,200
/login,GET,648,32446,200
/matrics,GET,1564,32446,200
/get-user,GET,132,32446,200
/purchase,GET,1139,32446,404
/matrics,POST,564,32446,200
/purchase,GET,1950,32446,200
/get-user,POST,1016,32446,200
/purchase,GET,1868,32446,200
/login,GET,144,32446,200
/matrics,GET,862,32446,200
/purchase,GET,395,32446,200
/matrics,POST,1319,32446,200
/purchase,GET,740,32446,200
/get-user,GET,174,32446,200
/matrics,GET,373,32446,200
/login,POST,444,32446,200
/get-user,POST,274,32446,200
/get-user,POST,581,32446,200
/get-user,POST,1358,32446,200
/login,GET,1859,32446,200
/get-user,POST,1433,32446,200
/login,POST,1147,32446,200
/login,POST,1281,32446,200
/purchase,POST,1794,32446,200
/purchase,GET,1624,32446,200
/purchase,GET,887,32446,200
/get-user,POST,1412,32446,200
/purchase,POST,406,32446,200
/matrics,GET,1313,32446,200
/get-user,POST,990,32446,200
/matrics,GET,741,32446,200
/login,POST,1880,32446,200
/get-user,GET,798,32446,200
/purchase,GET,169,32446,200
/login,POST,1644,32446,200
/purchase,POST,1731,32446,200
/get-user,POST,1013,32446,500
/matrics,POST,75,32446,200
/login,GET,588,32446,200
/matrics,GET,566,32446,200
/get-user,GET,1001,32446,200
/get-user,POST,432,32446,200
/get-user,POST,744,32446,200
/login,GET,18140,324460,500
/get-user,POST,1778,32446,200
/purchase,POST,106,32446,200
/get-user,POST,1465,32446,200
/login,GET,1736,32446,200
/matrics,GET,1665,32446,200
/get-user,POST,1716,32446,200
/purchase,GET,1033,32446,200
/get-user,GET,913,32446,401
/matrics,POST,890,32446,200
/purchase,POST,140,32446,200
/get-user,POST,1223,32446,200
/purchase,GET,1802,32446,200
/login,GET,481,32446,404
/matrics,GET,1395,32446,200
/matrics,GET,1284,32446,200
/matrics,POST,843,32446,404
/purchase,POST,1715,32446,200
/matrics,GET,974,32446,200
/matrics,GET,748,32446,200
/matrics,GET,1902,32446,200
/get-user,POST,1986,32446,200
/get-user,GET,1773,32446,200
/purchase,POST,1732,32446,200
/matrics,POST,398,32446,400
/purchase,POST,944,32446,500
/login,POST,1988,32446,200
/login,POST,302,32446,200
/login,GET,627,32446,200
/login,POST,1024,32446,200
/get-user,POST,590,32446,200
/purchase,POST,776,32446,200
/matrics,POST,658,32446,200
/get-user,POST,407,32446,404
/get-user,GET,613,32446,200
/login,POST,1223,32446,200
/get-user,POST,1127,32446,200
/get-user,GET,1928,32446,200
/purchase,POST,418,32446,200
/get-user,GET,582,32446,200
/get-user,GET,1223,32446,200
/purchase,POST,1669,32446,200
/get-user,GET,1718,32446,200
/purchase,POST,659,32446,200
/get-user,GET,796,32446,200
/matrics,POST,428,32446,404
/matrics,GET,1191,32446,401
/get-user,GET,656,32446,200
/login,GET,1237,32446,200
/login,GET,135,32446,200
/get-user,GET,1720,32446,200
/get-user,POST,1667,32446,200
/purchase,POST,1989,32446,200
/purchase,GET,844,32446,404
/matrics,POST,1788,32446,200
/purchase,POST,453,32446,401
/login,GET,646,32446,500
/get-user,GET,76,32446,200
/matrics,GET,978,32446,200
/purchase,GET,1677,32446,200
/login,GET,678,32446,200
/matrics,GET,882,32446,200
/matrics,POST,1193,32446,200
/login,POST,429,32446,200
/get-user,POST,1961,32446,200
/get-user,GET,1720,32446,200
/get-user,GET,1210,32446,200
